ID,Name,Team,Score,Matches_Played,Goals,Assists,Yellow_Cards,Red_Cards
1,Player 2,Team 2,1,2,1,1,1,1
2,Player 3,Team 3,2,3,2,2,0,0
3,Player 4,Team 4,3,4,3,0,1,1
4,Player 5,Team 5,4,5,4,1,0,0
5,Player 6,Team 1,5,6,0,2,1,1
6,Player 7,Team 2,6,7,1,0,0,0
7,Player 8,Team 3,7,8,2,1,1,1
8,Player 9,Team 4,8,9,3,2,0,0
9,Player 10,Team 5,9,10,4,0,1,1
10,Player 1,Team 1,10,1,0,1,0,0
11,Player 2,Team 2,11,2,1,2,1,1
12,Player 3,Team 3,12,3,2,0,0,0
13,Player 4,Team 4,13,4,3,1,1,1
14,Player 5,Team 5,14,5,4,2,0,0
15,Player 6,Team 1,15,6,0,0,1,1
16,Player 7,Team 2,16,7,1,1,0,0
17,Player 8,Team 3,17,8,2,2,1,1
18,Player 9,Team 4,18,9,3,0,0,0
19,Player 10,Team 5,19,10,4,1,1,1
20,Player 1,Team 1,0,1,0,2,0,0
21,Player 2,Team 2,1,2,1,0,1,1
22,Player 3,Team 3,2,3,2,1,0,0
23,Player 4,Team 4,3,4,3,2,1,1
24,Player 5,Team 5,4,5,4,0,0,0
25,Player 6,Team 1,5,6,0,1,1,1
26,Player 7,Team 2,6,7,1,2,0,0
27,Player 8,Team 3,7,8,2,0,1,1
28,Player 9,Team 4,8,9,3,1,0,0
29,Player 10,Team 5,9,10,4,2,1,1
30,Player 1,Team 1,10,1,0,0,0,0
31,Player 2,Team 2,11,2,1,1,1,1
32,Player 3,Team 3,12,3,2,2,0,0
33,Player 4,Team 4,13,4,3,0,1,1
34,Player 5,Team 5,14,5,4,1,0,0
35,Player 6,Team 1,15,6,0,2,1,1
36,Player 7,Team 2,16,7,1,0,0,0
37,Player 8,Team 3,17,8,2,1,1,1
38,Player 9,Team 4,18,9,3,2,0,0
39,Player 10,Team 5,19,10,4,0,1,1
40,Player 1,Team 1,0,1,0,1,0,0
41,Player 2,Team 2,1,2,1,2,1,1
42,Player 3,Team 3,2,3,2,0,0,0
43,Player 4,Team 4,3,4,3,1,1,1
44,Player 5,Team 5,4,5,4,2,0,0
45,Player 6,Team 1,5,6,0,0,1,1
46,Player 7,Team 2,6,7,1,1,0,0
47,Player 8,Team 3,7,8,2,2,1,1
48,Player 9,Team 4,8,9,3,0,0,0
49,Player 10,Team 5,9,10,4,1,1,1
50,Player 1,Team 1,10,1,0,2,0,0
51,Player 2,Team 2,11,2,1,0,1,1
52,Player 3,Team 3,12,3,2,1,0,0
53,Player 4,Team 4,13,4,3,2,1,1
54,Player 5,Team 5,14,5,4,0,0,0
55,Player 6,Team 1,15,6,0,1,1,1
56,Player 7,Team 2,16,7,1,2,0,0
57,Player 8,Team 3,17,8,2,0,1,1
58,Player 9,Team 4,18,9,3,1,0,0
59,Player 10,Team 5,19,10,4,2,1,1
60,Player 1,Team 1,0,1,0,0,0,0
61,Player 2,Team 2,1,2,1,1,1,1
62,Player 3,Team 3,2,3,2,2,0,0
63,Player 4,Team 4,3,4,3,0,1,1
64,Player 5,Team 5,4,5,4,1,0,0
65,Player 6,Team 1,5,6,0,2,1,1
66,Player 7,Team 2,6,7,1,0,0,0
67,Player 8,Team 3,7,8,2,1,1,1
68,Player 9,Team 4,8,9,3,2,0,0
69,Player 10,Team 5,9,10,4,0,1,1
70,Player 1,Team 1,10,1,0,1,0,0
71,Player 2,Team 2,11,2,1,2,1,1
72,Player 3,Team 3,12,3,2,0,0,0
73,Player 4,Team 4,13,4,3,1,1,1
